# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.max.wait.ms,1780152545243000000,1780152561641000000,30
writeAction.count,1780152545243000000,1780152561641000000,14
DiskQueryRelay.taskWaitingTotalTimeUs,1780152545243000000,1780152561641000000,19095
parser.HTML.time.ns,1780152545243000000,1780152561641000000,1556126
writeAction.wait.ms,1780152545243000000,1780152561641000000,30
lexer.VTL.size.bytes,1780152545243000000,1780152561641000000,134
lexer.HTML.time.ns,1780152545243000000,1780152561641000000,123999
parser.HTML.size.bytes,1780152545243000000,1780152561641000000,1
parser.VTL.size.bytes,1780152545243000000,1780152561641000000,134
DiskQueryRelay.tasksExecuted,1780152545243000000,1780152561641000000,116
DiskQueryRelay.tasksRequested,1780152545243000000,1780152561641000000,116
lexer.HTML.size.bytes,1780152545243000000,1780152561641000000,1
writeAction.median.wait.ms,1780152545243000000,1780152561641000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1780152545243000000,1780152561641000000,5527
lexer.VTL.time.ns,1780152545243000000,1780152561641000000,558043
parser.VTL.time.ns,1780152545243000000,1780152561641000000,2261375
workspaceModel.cachedValueWithParameters.clear.count,1780152545243000000,1780152561641000000,0
workspaceModel.cachedValue.total.get.count,1780152545243000000,1780152561641000000,18
workspaceModel.initializing.ms,1780152545243000000,1780152561641000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1780152545243000000,1780152561641000000,0
workspaceModel.init.bridges.ms,1780152545243000000,1780152561641000000,0
workspaceModel.cachedValue.clear.count,1780152545243000000,1780152561641000000,0
workspaceModel.on.changed.ms,1780152545243000000,1780152561641000000,0
workspaceModel.update.unloaded.entities.ms,1780152545243000000,1780152561641000000,0
workspaceModel.on.before.changed.ms,1780152545243000000,1780152561641000000,0
workspaceModel.loading.from.cache.ms,1780152545243000000,1780152561641000000,24
workspaceModel.to.snapshot.ms,1780152545243000000,1780152561641000000,0
workspaceModel.updates.ms,1780152545243000000,1780152561641000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1780152545243000000,1780152561641000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1780152545243000000,1780152561641000000,0
workspaceModel.full.replace.project.model.ms,1780152545243000000,1780152561641000000,0
workspaceModel.updates.precise.ms,1780152545243000000,1780152561641000000,0
workspaceModel.cachedValue.calculated.count,1780152545243000000,1780152561641000000,2
workspaceModel.updates.count,1780152545243000000,1780152561641000000,0
workspaceModel.loading.total.ms,1780152545243000000,1780152561641000000,29
workspaceModel.cachedValue.from.cache.count,1780152545243000000,1780152561641000000,16
workspaceModel.pre.handlers.ms,1780152545243000000,1780152561641000000,0
workspaceModel.collect.changes.ms,1780152545243000000,1780152561641000000,0
workspaceModel.replace.project.model.ms,1780152545243000000,1780152561641000000,0
workspaceModel.check.recursive.update.ms,1780152545243000000,1780152561641000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1780152545243000000,1780152561641000000,5
cacheStateStorage.get.duration,1780152545243000000,1780152561641000000,9
cacheStateStorage.set.counter,1780152545243000000,1780152561641000000,8
cacheStateStorage.set.duration,1780152545243000000,1780152561641000000,8
cacheStateStorage.get.counter,1780152545243000000,1780152561641000000,10
jps.global.get.libraries.ms,1780152545243000000,1780152561641000000,67
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1780152545243000000,1780152561641000000,0
jps.load.initial.state.ms,1780152545243000000,1780152561641000000,12
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1780152545243000000,1780152561641000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1780152545243000000,1780152561641000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1780152545243000000,1780152561641000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1780152545243000000,1780152561641000000,2
jps.global.initialize.library.bridges.ms,1780152545243000000,1780152561641000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1780152545243000000,1780152561641000000,0
workspaceModel.do.save.caches.ms,1780152545243000000,1780152561641000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1780152545243000000,1780152561641000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1780152545243000000,1780152561641000000,0
workspaceModel.load.cache.from.file.ms,1780152545243000000,1780152561641000000,48
jps.global.handle.before.change.events.ms,1780152545243000000,1780152561641000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1780152545243000000,1780152561641000000,0
workspaceModel.global.updates.ms,1780152545243000000,1780152561641000000,6
workspaceModel.mutableEntityStorage.add.entity.ms,1780152545243000000,1780152561641000000,4
jps.global.handle.changed.events.ms,1780152545243000000,1780152561641000000,0
jps.library.entities.serializer.load.entities.ms,1780152545243000000,1780152561641000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1780152545243000000,1780152561641000000,0
workspaceModel.load.cache.metadata.from.file.ms,1780152545243000000,1780152561641000000,4
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1780152545243000000,1780152561641000000,0
jps.global.get.library.ms,1780152545243000000,1780152561641000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1780152545243000000,1780152561641000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1780152545243000000,1780152561641000000,1
jps.app.storage.content.writer.save.component.ms,1780152545243000000,1780152561641000000,28
workspaceModel.moduleManagerBridge.load.module.ms,1780152545243000000,1780152561641000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1780152545243000000,1780152561641000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1780152545243000000,1780152561641000000,0
workspaceModel.mutableEntityStorage.entities.ms,1780152545243000000,1780152561641000000,0
jps.save.global.entities.ms,1780152545243000000,1780152561641000000,41
workspaceModel.save.cache.to.file.ms,1780152545243000000,1780152561641000000,19
jps.global.initialize.library.bridges.after.loading.ms,1780152545243000000,1780152561641000000,1
jps.app.storage.content.reader.load.component.ms,1780152545243000000,1780152561641000000,3
workspaceModel.global.apply.state.to.project.builder.ms,1780152545243000000,1780152561641000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1780152545243000000,1780152561641000000,2
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1780152545243000000,1780152561641000000,0
workspaceModel.sync.entities.ms,1780152545243000000,1780152561641000000,0
workspaceModel.global.updates.count,1780152545243000000,1780152561641000000,1
workspaceModel.mutableEntityStorage.instances.count,1780152545243000000,1780152561641000000,6
workspaceModel.mutableEntityStorage.hasReferrers.ms,1780152545243000000,1780152561641000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1780152545243000000,1780152561641000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1780152545243000000,1780152561641000000,4
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1780152545243000000,1780152561641000000,1
workspaceModel.global.apply.state.to.project.ms,1780152545243000000,1780152561641000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1780152545243000000,1780152561641000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1780152545243000000,1780152561641000000,0
jps.global.get.library.by.name.ms,1780152545243000000,1780152561641000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1780152545243000000,1780152561641000000,0
jps.library.entities.serializer.save.entities.ms,1780152545243000000,1780152561641000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1780152545243000000,1780152561641000000,0
FilePageCache.disposedBuffers,1780152545243000000,1780152561641000000,388
DirectByteBufferAllocator.disposed,1780152545243000000,1780152561641000000,345
StorageLockContext.competingThreads.90P,1780152545243000000,1780152561641000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1780152545243000000,1780152561641000000,41943040
FilePageCache.maxRegisteredFiles,1780152545243000000,1780152561641000000,1078
FilePageCache.totalPageLoadsUs,1780152545243000000,1780152561641000000,200811
FilePageCache.pageHits,1780152545243000000,1780152561641000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1780152545243000000,1780152561641000000,0
DirectByteBufferAllocator.misses,1780152545243000000,1780152561641000000,385
StorageLockContext.competingThreads.max,1780152545243000000,1780152561641000000,0
FilePageCache.uncachedFileAccess,1780152545243000000,1780152561641000000,232
DirectByteBufferAllocator.hits,1780152545243000000,1780152561641000000,3
StorageLockContext.competingThreads.avg,1780152545243000000,1780152561641000000,0.0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1780152545243000000,1780152561641000000,41943040
FilePageCache.pageLoads,1780152545243000000,1780152561641000000,388
FilePageCache.maxCacheSizeInBytes,1780152545243000000,1780152561641000000,403701760
FilePageCache.totalPageDisposalsUs,1780152545243000000,1780152561641000000,1504
FileChannelInterruptsRetryer.totalRetriedAttempts,1780152545243000000,1780152561641000000,0
DirectByteBufferAllocator.reclaimed,1780152545243000000,1780152561641000000,43
FilePageCache.pageFastCacheHits,1780152545243000000,1780152561641000000,7720
FilePageCache.capacityInBytes,1780152545243000000,1780152561641000000,629145600
NonBlockingReadAction.failedExecutionsCount,1780152545243000000,1780152561641000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1780152545243000000,1780152561641000000,161615
NonBlockingReadAction.finalizedExecutionsCount,1780152545243000000,1780152561641000000,13
NonBlockingReadAction.failedExecutionTimeUs,1780152545243000000,1780152561641000000,0
AWTEventQueue.dispatchTimeTotalNS,1780152545243000000,1780152561641000000,1982048340
Indexes.stubs.lookupDurationAvgMs,1780152545243000000,1780152561641000000,0.0
Indexing.writesQueuedMax,1780152545243000000,1780152561641000000,0
Indexes.allKeys.lookups,1780152545243000000,1780152561641000000,0
Indexes.stubs.lookupDurationMaxMs,1780152545243000000,1780152561641000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1780152545243000000,1780152561641000000,0
Indexing.cache.totalCacheMisses,1780152545243000000,1780152561641000000,0
Indexes.entries.lookupDurationMaxMs,1780152545243000000,1780152561641000000,0.0
Indexes.entries.lookupDuration90PMs,1780152545243000000,1780152561641000000,0.0
Indexing.writesQueuedMin,1780152545243000000,1780152561641000000,9223372036854775807
Indexes.stubs.lookupDuration90PMs,1780152545243000000,1780152561641000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1780152545243000000,1780152561641000000,0
Indexes.allKeys.lookupDuration90PMs,1780152545243000000,1780152561641000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1780152545243000000,1780152561641000000,0.0
Indexes.entries.lookupDurationAvgMs,1780152545243000000,1780152561641000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1780152545243000000,1780152561641000000,0
Indexes.entries.lookups,1780152545243000000,1780152561641000000,1
Indexing.cache.totalCacheEvicted,1780152545243000000,1780152561641000000,0
Indexes.stubs.lookups,1780152545243000000,1780152561641000000,0
Indexes.allKeys.lookupDurationMaxMs,1780152545243000000,1780152561641000000,0.0
Indexing.cache.totalCacheAccesses,1780152545243000000,1780152561641000000,0
Indexing.totalTimeIndexersSleptMs,1780152545243000000,1780152561641000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1780152545243000000,1780152561641000000,0
