# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.on.before.changed.ms,1780224845760000000,1780224862890000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1780224845760000000,1780224862890000000,0
workspaceModel.check.recursive.update.ms,1780224845760000000,1780224862890000000,0
workspaceModel.pre.handlers.ms,1780224845760000000,1780224862890000000,0
workspaceModel.updates.ms,1780224845760000000,1780224862890000000,0
workspaceModel.loading.total.ms,1780224845760000000,1780224862890000000,35
workspaceModel.cachedValueWithParameters.total.get.count,1780224845760000000,1780224862890000000,0
workspaceModel.cachedValue.total.get.count,1780224845760000000,1780224862890000000,18
workspaceModel.initializing.ms,1780224845760000000,1780224862890000000,0
workspaceModel.to.snapshot.ms,1780224845760000000,1780224862890000000,0
workspaceModel.global.updates.count,1780224845760000000,1780224862890000000,1
workspaceModel.mutableEntityStorage.hasReferrers.ms,1780224845760000000,1780224862890000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1780224845760000000,1780224862890000000,0
jps.global.initialize.library.bridges.after.loading.ms,1780224845760000000,1780224862890000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1780224845760000000,1780224862890000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1780224845760000000,1780224862890000000,0
workspaceModel.load.cache.metadata.from.file.ms,1780224845760000000,1780224862890000000,3
workspaceModel.mutableEntityStorage.entities.by.source.ms,1780224845760000000,1780224862890000000,0
jps.global.get.library.ms,1780224845760000000,1780224862890000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1780224845760000000,1780224862890000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1780224845760000000,1780224862890000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1780224845760000000,1780224862890000000,4
jps.app.storage.content.writer.save.component.ms,1780224845760000000,1780224862890000000,29
