# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.maxRegisteredFiles,1780224752635000000,1780224768343000000,1078
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1780224752635000000,1780224768343000000,41943040
DirectByteBufferAllocator.disposed,1780224752635000000,1780224768343000000,345
FilePageCache.disposedBuffers,1780224752635000000,1780224768343000000,388
FilePageCache.capacityInBytes,1780224752635000000,1780224768343000000,629145600
FilePageCache.totalPageLoadsUs,1780224752635000000,1780224768343000000,87490
StorageLockContext.competingThreads.max,1780224752635000000,1780224768343000000,0
DirectByteBufferAllocator.reclaimed,1780224752635000000,1780224768343000000,43
DirectByteBufferAllocator.misses,1780224752635000000,1780224768343000000,385
FilePageCache.uncachedFileAccess,1780224752635000000,1780224768343000000,232
FilePageCache.pageLoads,1780224752635000000,1780224768343000000,388
StorageLockContext.competingThreads.avg,1780224752635000000,1780224768343000000,0.0
FilePageCache.maxCacheSizeInBytes,1780224752635000000,1780224768343000000,403701760
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1780224752635000000,1780224768343000000,41943040
FilePageCache.pageFastCacheHits,1780224752635000000,1780224768343000000,7720
FilePageCache.pageLoadsAboveSizeThreshold,1780224752635000000,1780224768343000000,0
StorageLockContext.competingThreads.90P,1780224752635000000,1780224768343000000,0
FilePageCache.pageHits,1780224752635000000,1780224768343000000,0
FilePageCache.totalPageDisposalsUs,1780224752635000000,1780224768343000000,781
DirectByteBufferAllocator.hits,1780224752635000000,1780224768343000000,3
FileChannelInterruptsRetryer.totalRetriedAttempts,1780224752635000000,1780224768343000000,0
cacheStateStorage.set.counter,1780224752635000000,1780224768343000000,8
cacheStateStorage.set.duration,1780224752635000000,1780224768343000000,9
cacheStateStorage.get.counter,1780224752635000000,1780224768343000000,10
cacheStateStorage.get.duration,1780224752635000000,1780224768343000000,8
lexer.HTML.time.ns,1780224752635000000,1780224768343000000,77333
lexer.HTML.size.bytes,1780224752635000000,1780224768343000000,1
writeAction.count,1780224752635000000,1780224768343000000,14
